Calories,Carbohydrates,Protein,Sodium
61.3375,8.0656,3.321,298.8751
56.5156,8.2981,3.6967,281.2446
60.6808,8.1841,3.5115,243.7979
56.6705,8.88,3.3953,253.2294
57.6466,7.6791,3.4996,343.9859
73.0291,8.3458,4.0428,399.6949
67.3755,8.5143,3.8894,385.3544
60.8057,8.1339,3.7807,360.7992
59.7983,12.7236,3.5683,335.0342
62.9359,8.6025,3.6105,360.3589
64.6879,8.7304,3.6967,382.6128
39.4713,5.7848,3.0789,238.1253
49.5242,7.0194,3.4363,358.0653
76.5854,9.5714,4.0215,465.7321
37.3273,7.1641,2.5393,8.8635
43.2452,6.8138,3.0562,283.8901
42.7942,3.984,2.2568,259.4663
49.3885,6.3809,3.3953,180.076
39.4713,5.7848,3.0789,238.1253
43.8471,7.4966,2.9307,244.4246
74.8039,8.7024,4.0532,546.3756
80.5648,7.7948,4.1123,553.0379
50.3073,7.39,3.3365,353.1922
47.9137,7.3682,3.2551,242.8565
57.4567,7.7567,3.3051,442.406
84.5577,10.6436,3.8264,351.769
45.0484,7.9957,3.2722,230.3614
70.8755,8.3615,3.9766,531.7549
22.0751,4.7101,1.3133,6.1749
22.0751,4.7101,1.3133,6.1749
37.3273,7.1641,2.5393,8.8635
22.0751,4.7101,1.3133,6.1749
22.0751,4.7101,1.3133,6.1749
22.0751,4.7101,1.3133,6.1749
68.3012,9.4398,3.4996,261.6996
45.6974,7.2108,3.1427,314.2868
59.6892,8.4235,3.5898,421.0821
43.5343,7.4966,2.7782,195.3072
47.7728,7.978,3.122,182.8107
45.6974,7.2108,3.1427,314.2868
57.3805,7.7375,3.5683,355.145
50.5726,7.6196,3.3365,356.2081
41.2128,11.378,2.8114,324.2258
45.6727,7.2108,3.1427,314.2868
52.0893,7.5175,2.9576,90.9792
48.8185,8.266,3.1008,96.9931
47.7728,7.978,3.122,182.8107
62.9873,8.588,3.6967,345.2435
38.8213,6.6204,2.7782,266.1415
45.449,7.5792,3.122,251.3761
45.6974,7.2108,3.1427,314.2868
39.7047,6.0825,3.3517,214.367
60.8591,8.7581,6.2636,417.3721
45.6974,7.2108,3.1427,314.2868
47.8198,8.4388,2.8431,102.24
57.247,8.5292,3.5348,283.1074
45.1991,6.2525,3.2196,320.9896
45.6974,7.2108,3.1427,314.2868
49.9735,8.1169,3.321,169.1948
45.6727,6.5916,2.9836,247.4439
44.8212,6.76,3.1627,239.2856
57.6466,8.3771,3.475,163.5145
58.4176,7.4545,2.9836,210.5936
45.6974,7.2108,3.1427,314.2868
45.6974,7.2108,3.1427,314.2868
58.2119,8.1507,3.5791,442.8891
54.3545,7.5587,3.3517,349.2724
47.7728,7.978,3.122,182.8107
54.2123,7.7375,2.7782,139.9884
69.1359,8.5143,3.9091,471.5423
52.1744,8.1169,3.321,230.7897
54.1716,8.4692,3.3666,314.8477
47.7728,7.978,3.122,182.8107
45.6974,7.2108,3.1427,314.2868
45.6974,7.2108,3.1427,314.2868
48.0542,8.1674,3.122,186.8209
69.1359,8.5143,3.9091,471.5423
52.1744,8.1169,3.321,230.7897
54.1716,8.4692,3.3666,314.8477
47.7728,7.978,3.122,182.8107
45.6974,7.2108,3.1427,314.2868
45.6974,7.2108,3.1427,314.2868
48.0542,8.1674,3.122,186.8209
71.3063,8.6025,3.9091,426.2521
52.1744,8.1169,3.321,230.7897
54.1716,8.4692,3.3666,314.8477
47.7728,7.978,3.122,182.8107
45.6974,7.2108,3.1427,314.2868
45.6974,7.2108,3.1427,314.2868
48.0542,8.1674,3.122,186.8209
71.3063,8.6025,3.9091,426.2521
